Date,State,Dead,Injured,Total,Description
30-01-2022,Florida,1,4,5,"Two cars engaged in a running gun battle. Four people, including two teenagers, were shot in one of the cars, with a fifth also being wounded in the other car. An adult passenger in the first vehicle was killed."
30-01-2022,Georgia,1,3,4,Four people were shot in the early morning hours at a club. A man was found dead by responding police.
29-01-2022,California,0,4,4,Four people were shot at a bar during the late evening hours in the Polo Grounds neighborhood.
29-01-2022,Missouri,3,1,4,"Four men were shot near an intersection in the Kingsway East neighborhood, with two found dead at the scene. Another man died at the hospital and the surviving victim ran to a nearby convenience store for help."
29-01-2022,Georgia,1,3,4,"An argument escalated into a shooting outside a sports bar in the Vine City neighborhood shortly after midnight, with one person being fatally shot and three others being injured by gunfire."
28-01-2022,Tennessee,4,0,4,A man shot his wife and two children in a murder-suicide at his home. The man only killed himself and his wife after the police arrived and began to attempt to negotiate with him.
27-01-2022,California,2,3,5,"Two people were fatally shot at a Shell gas station, with three others being wounded."
27-01-2022,Washington D.C.,1,4,5,Five people were shot at a Days Inn hotel in the Forest Hills neighborhood. A woman later succumbed to her injuries.
23-01-2022,Wisconsin,6,0,6,Six people were found by police shot to death in a home after being called there for a welfare check in the Park West neighborhood.
23-01-2022,California,4,1,5,Four people were fatally shot at a birthday party at a home in the morning in an ambush-style attack. A fifth person was shot but survived their injuries. The woman whose birthday was being celebrated along with her older sister was among the deceased.
22-01-2022,Washington,1,3,4,"Four people were shot by an occupant in an approaching vehicle outside an apartment complex in the South End neighborhood while they were in two different vehicles. Two of the victims drove away together to Tacoma, where one of them was found dead by police."
19-01-2022,Maryland,3,1,4,"Three men, including an on-duty violence-prevention worker, were fatally shot in the Milton-Monford neighborhood. Another man who was shot survived his injuries."
19-01-2022,Louisiana,0,4,4,Four men were injured when a vehicle approached them and multiple occupants opened fire upon them. The victims returned fire and the attackers fled.
18-01-2022,Florida,1,4,5,"After a man was escorted out of a bar for assaulting his female companion, he drove away and later returned with a gun and opened fire on the bar's security guards, with three female patrons and one security guard being wounded. A security guard inside the bar returned fire and killed the shooter."
17-01-2022,Texas,0,4,4,Four people were shot at a Martin Luther King Jr. Day gathering in the Coliseum Willow Park neighborhood.
16-01-2022,Georgia,1,3,4,"Four people, including two teens, were shot in the Benjamin Van Clark Park neighborhood. A woman died from her injuries and five vehicles were struck by gunfire."
15-01-2022,Georgia,1,5,6,One person was killed and five others injured after two men shot at one another inside a club.
15-01-2022,Tennessee,0,4,4,Four women were shot in a parked car in the early morning hours. The driver then drove them all to a hospital.
14-01-2022,Oregon,0,6,6,"A shooting broke out just before the start of a rap concert at W.O.W. Hall, resulting in six injuries."
14-01-2022,Georgia,3,1,4,"A man shot three people in southern Augusta, two fatally, before committing suicide."
13-01-2022,New York,0,4,4,Three men and a woman were shot inside of a rental hall in the Canarsie section of Brooklyn.
12-01-2022,Illinois,0,4,4,"Four people were wounded at the Parkway Garden Homes apartment complex in the Greater Grand Crossing neighborhood on the South Side, while standing on the sidewalk. A man approached them and opened fire before fleeing."
09-01-2022,California,1,5,6,"A gunman opened fire at a large party in South Los Angeles, wounding five people, while another party-goer returned fire wounding the shooter. The shooter fled in a vehicle which later crashed, and died at the hospital."
09-01-2022,Alabama,1,6,7,"A man was killed and six others; including four bystanders, were wounded inside a bowling alley after an argument escalated. The shooter fled afterwards."
09-01-2022,California,0,4,4,Four people were wounded outside a nightclub after an argument between two people escalated.
09-01-2022,Colorado,2,2,4,Responding officers found two people dead and at least two injured at an apartment complex in the early morning.
08-01-2022,Texas,1,3,4,"A gunman opened fire outside a club, killing one and wounding three others."
04-01-2022,Mississippi,1,3,4,"One teen was shot to death, while three other teens were injured while sitting in a car at a gas station."
02-01-2022,Texas,2,2,4,Two men were found deceased in a crashed car with multiple gunshots. Two other adults in the backseat were wounded.
02-01-2022,Texas,2,2,4,An altercation led to a shooting at an apartment complex. Two people were killed and another wounded after bullets went through a wall. A fourth person was injured in another apartment.
01-01-2022,Illinois,2,3,5,Two women were killed and three others wounded in an early morning shooting.
01-01-2022,Pennsylvania,1,4,5,A teenager was killed and three adults and another teenager wounded near Temple University.
01-01-2022,South Carolina,0,5,5,"A shooter opened fire outside a nightclub, and wounded five."
01-01-2022,Georgia,1,3,4,"After officers were dispatched to respond to a domestic dispute at a home and they were en route, the call was upgraded to shots fired. Upon arriving, officers found a man had killed himself after shooting three people, including two children."
01-01-2022,Wisconsin,1,3,4,A man was killed and three others wounded in a parking lot in the early morning.
01-01-2022,Indiana,0,4,4,Four people were wounded at a New Years party shortly after midnight.
01-01-2022,Colorado,2,2,4,Two adults were killed and two wounded in an early morning shooting in the LoDo district.
01-01-2022,Missouri,0,4,4,Four adults were wounded in the early morning at a local bar.
